#datatype,measurement,dateTime:RFC3339,tag,tag,field,field,field
#group,false,false,true,true,false,false,false
#default,delivery_tracking,,,,,,
_measurement,time,user_id,delivery_id,lat,lon,delivery_status
delivery_tracking,2026-06-01T08:00:00Z,user-del-1,del-100,44.82796,20.461584,accepted
delivery_tracking,2026-06-01T08:00:10Z,user-del-1,del-100,44.828535,20.460902,accepted
delivery_tracking,2026-06-01T08:00:20Z,user-del-1,del-100,44.829476,20.461605,accepted
delivery_tracking,2026-06-01T08:00:30Z,user-del-1,del-100,44.829311,20.461292,accepted
delivery_tracking,2026-06-01T08:00:40Z,user-del-1,del-100,44.830065,20.46198,accepted
delivery_tracking,2026-06-01T08:00:50Z,user-del-1,del-100,44.830085,20.461276,accepted
delivery_tracking,2026-06-01T08:01:00Z,user-del-1,del-100,44.830115,20.460325,accepted
delivery_tracking,2026-06-01T08:01:10Z,user-del-1,del-100,44.829575,20.459836,accepted
delivery_tracking,2026-06-01T08:01:20Z,user-del-1,del-100,44.828685,20.458851,accepted
delivery_tracking,2026-06-01T08:01:30Z,user-del-1,del-100,44.827906,20.458071,accepted
delivery_tracking,2026-06-01T08:01:40Z,user-del-1,del-100,44.828129,20.45747,accepted
delivery_tracking,2026-06-01T08:01:50Z,user-del-1,del-100,44.828453,20.456729,accepted
delivery_tracking,2026-06-01T08:02:00Z,user-del-1,del-100,44.829266,20.456046,accepted
delivery_tracking,2026-06-01T08:02:10Z,user-del-1,del-100,44.829705,20.455929,accepted
delivery_tracking,2026-06-01T08:02:20Z,user-del-1,del-100,44.830491,20.456543,accepted
delivery_tracking,2026-06-01T08:02:30Z,user-del-1,del-100,44.830677,20.457506,accepted
delivery_tracking,2026-06-01T08:02:40Z,user-del-1,del-100,44.831877,20.457504,accepted
delivery_tracking,2026-06-01T08:02:50Z,user-del-1,del-100,44.831367,20.457013,accepted
delivery_tracking,2026-06-01T08:03:00Z,user-del-1,del-100,44.83244,20.456284,accepted
delivery_tracking,2026-06-01T08:03:10Z,user-del-1,del-100,44.833324,20.455904,accepted
delivery_tracking,2026-06-01T08:03:20Z,user-del-1,del-100,44.833995,20.454926,accepted
delivery_tracking,2026-06-01T08:03:30Z,user-del-1,del-100,44.833446,20.454357,accepted
delivery_tracking,2026-06-01T08:03:40Z,user-del-1,del-100,44.834154,20.454419,accepted
delivery_tracking,2026-06-01T08:03:50Z,user-del-1,del-100,44.835348,20.455291,accepted
delivery_tracking,2026-06-01T08:04:00Z,user-del-1,del-100,44.834818,20.454337,accepted
delivery_tracking,2026-06-01T08:04:10Z,user-del-1,del-100,44.835003,20.454449,accepted
delivery_tracking,2026-06-01T08:04:20Z,user-del-1,del-100,44.835688,20.45388,accepted
delivery_tracking,2026-06-01T08:04:30Z,user-del-1,del-100,44.834763,20.454017,accepted
delivery_tracking,2026-06-01T08:04:40Z,user-del-1,del-100,44.833694,20.45476,accepted
delivery_tracking,2026-06-01T08:04:50Z,user-del-1,del-100,44.834306,20.454514,accepted
delivery_tracking,2026-06-01T08:05:00Z,user-del-1,del-100,44.834257,20.455586,in_transit
delivery_tracking,2026-06-01T08:05:10Z,user-del-1,del-100,44.834322,20.455775,in_transit
delivery_tracking,2026-06-01T08:05:20Z,user-del-1,del-100,44.834553,20.45671,in_transit
delivery_tracking,2026-06-01T08:05:30Z,user-del-1,del-100,44.834112,20.456526,in_transit
delivery_tracking,2026-06-01T08:05:40Z,user-del-1,del-100,44.834473,20.456147,in_transit
delivery_tracking,2026-06-01T08:05:50Z,user-del-1,del-100,44.834827,20.455915,in_transit
delivery_tracking,2026-06-01T08:06:00Z,user-del-1,del-100,44.835878,20.455924,in_transit
delivery_tracking,2026-06-01T08:06:10Z,user-del-1,del-100,44.83576,20.455273,in_transit
delivery_tracking,2026-06-01T08:06:20Z,user-del-1,del-100,44.8359,20.454639,in_transit
delivery_tracking,2026-06-01T08:06:30Z,user-del-1,del-100,44.836348,20.454968,in_transit
delivery_tracking,2026-06-01T08:06:40Z,user-del-1,del-100,44.836463,20.454977,in_transit
delivery_tracking,2026-06-01T08:06:50Z,user-del-1,del-100,44.835353,20.455494,in_transit
delivery_tracking,2026-06-01T08:07:00Z,user-del-1,del-100,44.834756,20.456495,in_transit
delivery_tracking,2026-06-01T08:07:10Z,user-del-1,del-100,44.834852,20.456957,in_transit
delivery_tracking,2026-06-01T08:07:20Z,user-del-1,del-100,44.835018,20.457631,in_transit
delivery_tracking,2026-06-01T08:07:30Z,user-del-1,del-100,44.834577,20.458651,in_transit
delivery_tracking,2026-06-01T08:07:40Z,user-del-1,del-100,44.833947,20.458747,in_transit
delivery_tracking,2026-06-01T08:07:50Z,user-del-1,del-100,44.834154,20.459169,in_transit
delivery_tracking,2026-06-01T08:08:00Z,user-del-1,del-100,44.833412,20.45938,in_transit
delivery_tracking,2026-06-01T08:08:10Z,user-del-1,del-100,44.832557,20.45898,in_transit
delivery_tracking,2026-06-01T08:08:20Z,user-del-1,del-100,44.832818,20.458365,in_transit
delivery_tracking,2026-06-01T08:08:30Z,user-del-1,del-100,44.831861,20.458389,in_transit
delivery_tracking,2026-06-01T08:08:40Z,user-del-1,del-100,44.832399,20.459402,in_transit
delivery_tracking,2026-06-01T08:08:50Z,user-del-1,del-100,44.831498,20.458808,in_transit
