#datatype,measurement,dateTime:RFC3339,tag,tag,tag,double,double,string
#group,false,false,true,true,true,false,false,false
#default,geo_position,,,,,,,
,_measurement,time,user_id,delivery_id,vehicle_id,lat,lon,delivery_status
,geo_position,2026-06-01T08:00:00Z,user-del-1,del-100,car-1,45.242483,19.842168,accepted
,geo_position,2026-06-01T08:00:10Z,user-del-1,del-100,car-1,45.241811,19.842533,accepted
,geo_position,2026-06-01T08:00:20Z,user-del-1,del-100,car-1,45.241678,19.842603,accepted
,geo_position,2026-06-01T08:00:30Z,user-del-1,del-100,car-1,45.241571,19.842804,accepted
,geo_position,2026-06-01T08:00:40Z,user-del-1,del-100,car-1,45.241785,19.842735,accepted
,geo_position,2026-06-01T08:00:50Z,user-del-1,del-100,car-1,45.242017,19.842612,accepted
,geo_position,2026-06-01T08:01:00Z,user-del-1,del-100,car-1,45.2426,19.842288,accepted
,geo_position,2026-06-01T08:01:10Z,user-del-1,del-100,car-1,45.243291,19.841904,accepted
,geo_position,2026-06-01T08:01:20Z,user-del-1,del-100,car-1,45.243556,19.841746,accepted
,geo_position,2026-06-01T08:01:30Z,user-del-1,del-100,car-1,45.243686,19.841674,accepted
,geo_position,2026-06-01T08:01:40Z,user-del-1,del-100,car-1,45.243859,19.841585,accepted
,geo_position,2026-06-01T08:01:50Z,user-del-1,del-100,car-1,45.244035,19.841494,accepted
,geo_position,2026-06-01T08:02:00Z,user-del-1,del-100,car-1,45.245374,19.840735,accepted
,geo_position,2026-06-01T08:02:10Z,user-del-1,del-100,car-1,45.246609,19.840059,accepted
,geo_position,2026-06-01T08:02:20Z,user-del-1,del-100,car-1,45.246701,19.840008,accepted
,geo_position,2026-06-01T08:02:30Z,user-del-1,del-100,car-1,45.24767,19.839459,accepted
,geo_position,2026-06-01T08:02:40Z,user-del-1,del-100,car-1,45.247821,19.839376,accepted
,geo_position,2026-06-01T08:02:50Z,user-del-1,del-100,car-1,45.24807,19.839244,accepted
,geo_position,2026-06-01T08:03:00Z,user-del-1,del-100,car-1,45.2486,19.838952,accepted
,geo_position,2026-06-01T08:03:10Z,user-del-1,del-100,car-1,45.25021,19.838057,accepted
,geo_position,2026-06-01T08:03:20Z,user-del-1,del-100,car-1,45.250587,19.837846,accepted
,geo_position,2026-06-01T08:03:30Z,user-del-1,del-100,car-1,45.251742,19.837199,accepted
,geo_position,2026-06-01T08:03:40Z,user-del-1,del-100,car-1,45.251854,19.83714,accepted
,geo_position,2026-06-01T08:03:50Z,user-del-1,del-100,car-1,45.25198,19.837318,accepted
,geo_position,2026-06-01T08:04:00Z,user-del-1,del-100,car-1,45.252097,19.837586,accepted
,geo_position,2026-06-01T08:04:10Z,user-del-1,del-100,car-1,45.252542,19.838574,accepted
,geo_position,2026-06-01T08:04:20Z,user-del-1,del-100,car-1,45.252587,19.838673,accepted
,geo_position,2026-06-01T08:04:30Z,user-del-1,del-100,car-1,45.252825,19.8392,accepted
,geo_position,2026-06-01T08:04:40Z,user-del-1,del-100,car-1,45.25311,19.839831,accepted
,geo_position,2026-06-01T08:04:50Z,user-del-1,del-100,car-1,45.253261,19.840174,accepted
,geo_position,2026-06-01T08:05:00Z,user-del-1,del-100,car-1,45.253497,19.840728,accepted
,geo_position,2026-06-01T08:05:10Z,user-del-1,del-100,car-1,45.253813,19.841501,accepted
,geo_position,2026-06-01T08:05:20Z,user-del-1,del-100,car-1,45.253946,19.841794,accepted
,geo_position,2026-06-01T08:05:30Z,user-del-1,del-100,car-1,45.254095,19.842091,accepted
,geo_position,2026-06-01T08:05:40Z,user-del-1,del-100,car-1,45.254158,19.842218,accepted
,geo_position,2026-06-01T08:05:50Z,user-del-1,del-100,car-1,45.254138,19.842321,accepted
,geo_position,2026-06-01T08:06:00Z,user-del-1,del-100,car-1,45.254138,19.842321,in transit
,geo_position,2026-06-01T08:06:10Z,user-del-1,del-100,car-1,45.25412,19.842387,in transit
,geo_position,2026-06-01T08:06:20Z,user-del-1,del-100,car-1,45.254093,19.842458,in transit
,geo_position,2026-06-01T08:06:30Z,user-del-1,del-100,car-1,45.254071,19.842514,in transit
,geo_position,2026-06-01T08:06:40Z,user-del-1,del-100,car-1,45.254042,19.842569,in transit
,geo_position,2026-06-01T08:06:50Z,user-del-1,del-100,car-1,45.25395,19.842661,in transit
,geo_position,2026-06-01T08:07:00Z,user-del-1,del-100,car-1,45.253874,19.842737,in transit
,geo_position,2026-06-01T08:07:10Z,user-del-1,del-100,car-1,45.253806,19.842819,in transit
,geo_position,2026-06-01T08:07:20Z,user-del-1,del-100,car-1,45.253752,19.842898,in transit
,geo_position,2026-06-01T08:07:30Z,user-del-1,del-100,car-1,45.2537,19.842978,in transit
,geo_position,2026-06-01T08:07:40Z,user-del-1,del-100,car-1,45.253629,19.843105,in transit
,geo_position,2026-06-01T08:07:50Z,user-del-1,del-100,car-1,45.253556,19.843259,in transit
,geo_position,2026-06-01T08:08:00Z,user-del-1,del-100,car-1,45.253506,19.843388,in transit
,geo_position,2026-06-01T08:08:10Z,user-del-1,del-100,car-1,45.253387,19.843351,in transit
,geo_position,2026-06-01T08:08:20Z,user-del-1,del-100,car-1,45.253044,19.843103,in transit
,geo_position,2026-06-01T08:08:30Z,user-del-1,del-100,car-1,45.252632,19.842804,in transit
,geo_position,2026-06-01T08:08:40Z,user-del-1,del-100,car-1,45.252521,19.842729,in transit
,geo_position,2026-06-01T08:08:50Z,user-del-1,del-100,car-1,45.252262,19.842554,in transit
,geo_position,2026-06-01T08:09:00Z,user-del-1,del-100,car-1,45.252081,19.84243,in transit
,geo_position,2026-06-01T08:09:10Z,user-del-1,del-100,car-1,45.251947,19.842338,in transit
,geo_position,2026-06-01T08:09:20Z,user-del-1,del-100,car-1,45.251873,19.842292,in transit
,geo_position,2026-06-01T08:09:30Z,user-del-1,del-100,car-1,45.251779,19.842242,in transit
,geo_position,2026-06-01T08:09:40Z,user-del-1,del-100,car-1,45.251622,19.842172,in transit
,geo_position,2026-06-01T08:09:50Z,user-del-1,del-100,car-1,45.251424,19.842085,in transit
,geo_position,2026-06-01T08:10:00Z,user-del-1,del-100,car-1,45.251317,19.842032,in transit
,geo_position,2026-06-01T08:10:10Z,user-del-1,del-100,car-1,45.251081,19.841898,in transit
,geo_position,2026-06-01T08:10:20Z,user-del-1,del-100,car-1,45.250678,19.841647,in transit
,geo_position,2026-06-01T08:10:30Z,user-del-1,del-100,car-1,45.249867,19.841111,in transit
,geo_position,2026-06-01T08:10:40Z,user-del-1,del-100,car-1,45.249681,19.840986,in transit
,geo_position,2026-06-01T08:10:50Z,user-del-1,del-100,car-1,45.249614,19.841179,in transit
,geo_position,2026-06-01T08:11:00Z,user-del-1,del-100,car-1,45.249296,19.842125,in transit
,geo_position,2026-06-01T08:11:10Z,user-del-1,del-100,car-1,45.249264,19.842209,in transit
,geo_position,2026-06-01T08:11:20Z,user-del-1,del-100,car-1,45.24922,19.842313,in transit
,geo_position,2026-06-01T08:11:30Z,user-del-1,del-100,car-1,45.249137,19.842429,in transit
,geo_position,2026-06-01T08:11:40Z,user-del-1,del-100,car-1,45.249069,19.842493,in transit
,geo_position,2026-06-01T08:11:50Z,user-del-1,del-100,car-1,45.249005,19.842531,in transit
,geo_position,2026-06-01T08:12:00Z,user-del-1,del-100,car-1,45.248964,19.842553,in transit
,geo_position,2026-06-01T08:12:10Z,user-del-1,del-100,car-1,45.248898,19.842591,in transit
,geo_position,2026-06-01T08:12:20Z,user-del-1,del-100,car-1,45.248812,19.842584,in transit
,geo_position,2026-06-01T08:12:30Z,user-del-1,del-100,car-1,45.248794,19.842499,in transit
,geo_position,2026-06-01T08:12:40Z,user-del-1,del-100,car-1,45.248431,19.840962,in transit
,geo_position,2026-06-01T08:12:50Z,user-del-1,del-100,car-1,45.248116,19.839658,in transit
,geo_position,2026-06-01T08:13:00Z,user-del-1,del-100,car-1,45.248073,19.839483,in transit
,geo_position,2026-06-01T08:13:10Z,user-del-1,del-100,car-1,45.248057,19.839411,in transit
,geo_position,2026-06-01T08:13:20Z,user-del-1,del-100,car-1,45.248017,19.839234,in transit
,geo_position,2026-06-01T08:13:30Z,user-del-1,del-100,car-1,45.247954,19.83914,in transit
,geo_position,2026-06-01T08:13:40Z,user-del-1,del-100,car-1,45.247826,19.839209,in transit
